id,employee,hire_date,department,salary,bonus
892313,Mada Behagg,08/15/2021,Business Development,"$89,963.23 ","$98,959.55"
892314,Abramo McNee,01/04/2021,Support,"$143,728.32 ",$0.00
892315,Margy Zelley,04/13/2021,Marketing,"$141,650.16 ",$0.00
892316,Leonidas MacKimm,02/20/2021,Human Resources,"$108,944.45 ",$0.00
892317,Martha Jessep,10/06/2020,Accounting,"$60,484.12 ","$66,532.53"
892318,Chadwick Smithe,01/16/2021,Product Management,"$60,086.98 ","$66,095.68"
892319,Hinze Beebee,08/20/2021,Legal,"$69,519.00 ","$76,470.90"
892320,Bentlee Alyonov,04/01/2021,Training,"$55,183.15 ","$60,701.47"
892321,Guenna Stockney,06/19/2021,Training,"$97,085.84 ","$106,794.42"
892322,Adan Adolf,10/02/2020,Support,"$100,241.14 ",$0.00
892323,Tarrah Armitage,09/02/2021,Training,"$142,248.61 ",$0.00
892324,Eliot Asken,10/25/2020,Sales,"$85,452.48 ","$93,997.73"
892325,Elaina Tomasutti,09/20/2020,Support,"$72,383.85 ","$79,622.24"
892326,Cynthie Joselevitz,04/05/2021,Research and Development,"$65,835.91 ","$72,419.50"
892327,Say Bril,05/02/2021,Accounting,"$89,250.93 ","$98,176.02"
892328,Iggie Chesswas,07/01/2021,Engineering,"$138,058.29 ",$0.00
892329,Camile Scarlon,06/10/2021,Marketing,"$59,749.42 ","$65,724.36"
892330,Andrea Oldcroft,08/21/2021,Accounting,"$66,859.24 ","$73,545.16"
892331,Herc Dregan,12/26/2020,Accounting,"$146,116.81 ",$0.00
892332,Lyndell Headan,08/22/2021,Support,"$117,651.67 ",$0.00
892333,Britni Danbye,09/14/2020,Services,"$112,612.83 ",$0.00
892334,Micky Beacon,01/17/2021,Legal,"$144,648.95 ",$0.00
892335,Gothart Oman,01/07/2021,Engineering,"$129,510.90 ",$0.00
892336,Netta Attack,05/21/2021,Human Resources,"$57,989.92 ","$63,788.91"
892337,Lawrence Squeers,12/26/2020,Legal,"$83,419.26 ","$91,761.19"
892338,Steward Body,12/15/2020,Human Resources,"$136,285.04 ",$0.00
892339,Catha Fifoot,12/27/2020,Services,"$104,053.53 ",$0.00
892340,Iain Troutbeck,08/11/2021,Engineering,"$85,274.85 ","$93,802.34"
892341,Nico Loosely,03/12/2021,Product Management,"$95,518.18 ","$105,070.00"
892342,Myrah Woodthorpe,07/27/2021,Human Resources,"$87,783.04 ","$96,561.34"
892343,Philippine Menauteau,03/12/2021,Engineering,"$128,501.25 ",$0.00
892344,Robena Goulborne,10/31/2020,Training,"$141,828.21 ",$0.00
892345,Claudie Errichiello,05/28/2021,Support,"$105,906.04 ",$0.00
892346,Carroll Alliberton,01/01/2021,Human Resources,"$110,976.23 ",$0.00
892347,Nicola Guppie,01/22/2021,Marketing,"$104,359.45 ",$0.00
892348,Phebe De Carolis,01/18/2021,Training,"$68,124.03 ","$74,936.43"
892349,Enrika McIllrick,02/12/2021,Research and Development,"$133,284.70 ",$0.00
892350,Lani Spraggs,10/26/2020,Research and Development,"$88,094.27 ","$96,903.70"
892351,Camile Streeten,04/12/2021,Marketing,"$118,100.45 ",$0.00
892352,Tatum Blackleech,08/13/2021,Training,"$96,592.50 ","$106,251.75"
892353,Pearline Anderer,12/18/2020,Research and Development,"$135,635.48 ",$0.00
892354,Ertha Foot,01/05/2021,Legal,"$142,970.55 ",$0.00
892355,Culver Lisciardelli,01/21/2021,Product Management,"$77,610.61 ","$85,371.67"
892356,Darelle More,11/15/2020,Accounting,"$71,109.32 ","$78,220.25"
892357,Heddi Sikorski,12/02/2020,Services,"$72,601.67 ","$79,861.84"
892358,Sollie Cullinan,09/12/2020,Accounting,"$60,887.96 ","$66,976.76"
892359,Town Mc Harg,12/20/2020,Legal,"$90,945.13 ","$100,039.64"
892360,Dell Whear,01/29/2021,Support,"$140,069.72 ",$0.00
892361,Dukie Lamberts,12/20/2020,Legal,"$147,610.05 ",$0.00
892362,Corenda Wagnerin,03/14/2021,Accounting,"$112,024.05 ",$0.00
892363,Annalee Siehard,10/29/2020,Support,"$106,153.59 ",$0.00
